MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
7.25,11,9.52,1.14,114,1.38,10.33,74.9,33.64
4.47,3,8.35,1.96,4330,7.1,24.65,82.68,24.35
11.14,4,3.95,4.57,2004,6.42,23.25,79.69,13.44
5.61,12,5.68,4.98,2720,9.67,16.52,91.34,95.08
5.7,24,8.7,1.39,3571,7.11,21.87,83.53,25.29
8.88,13,6.41,2.73,1618,6.56,20.57,70.09,79.14
6.49,8,2.6,2.33,4562,2.99,19.78,90.17,15.14
11.95,40,7.37,4.04,1787,4.53,33.95,70.88,85.62
14.41,14,2.36,1.4,1065,9.12,23.03,74.89,15.04
7.21,16,1.46,4.01,3607,5.52,28.62,83.25,51.05
9.06,14,6.46,3.73,652,7.7,11.73,73.72,68.24
13.69,14,3.0,1.04,347,4.73,18.17,69.1,13.87
9.81,22,2.92,1.47,1786,9.5,9.53,75.88,64.1
11.3,31,2.77,3.05,4039,7.37,24.07,87.02,61.94
12.29,10,9.23,2.63,4517,5.99,9.63,73.22,79.43
9.71,29,7.25,1.7,3898,5.64,23.41,69.92,93.64
10.79,43,9.33,4.9,1714,5.28,32.32,85.2,99.37
11.8,37,3.19,1.87,4669,3.87,26.44,88.34,83.41
12.16,7,8.83,1.69,2760,8.04,33.77,75.96,61.51
8.9,5,8.02,2.61,2248,4.91,24.42,77.11,96.43
8.94,7,7.53,4.98,551,6.61,10.1,86.55,58.16
8.65,23,2.22,1.76,4355,8.74,28.44,91.04,71.13
11.47,25,8.96,1.8,364,2.53,34.74,75.14,95.47
12.63,35,9.13,2.28,597,8.87,21.66,81.76,78.54
9.63,4,4.47,4.12,3755,6.89,36.16,94.47,57.15
12.3,38,9.57,4.47,2821,5.51,33.62,84.12,12.39
8.32,11,9.72,3.01,724,8.77,24.45,75.75,77.22
12.59,3,5.39,4.72,232,5.6,27.48,79.12,31.05
12.13,37,2.12,2.22,3551,9.01,18.06,77.81,11.65
14.99,14,5.47,4.04,1769,7.27,32.12,70.45,37.67
12.84,27,5.18,1.51,1579,3.75,25.11,68.83,41.09
10.71,42,4.21,4.63,2428,4.58,25.16,78.36,91.36
13.37,19,5.89,2.56,2751,5.58,24.3,95.6,71.28
10.91,32,3.75,4.03,4135,8.21,28.12,79.08,95.97
9.39,25,5.91,1.35,1262,3.07,13.18,82.73,62.17
7.01,19,5.32,2.19,2563,8.41,16.08,80.45,74.68
13.27,34,3.49,2.02,3754,3.25,13.36,83.86,41.79
3.29,47,6.88,1.12,3635,8.58,33.89,70.1,53.68
12.59,26,2.58,3.75,773,1.68,21.28,86.44,87.76
6.85,7,7.85,4.29,2243,7.84,34.51,91.1,92.38
14.8,13,5.43,2.59,1285,3.38,16.23,70.89,93.4
13.62,31,8.05,4.81,3415,1.14,30.67,76.0,83.78
8.01,7,1.95,2.14,2783,5.36,13.58,88.4,25.98
6.85,24,2.55,4.82,3008,6.41,20.53,70.7,10.0
6.69,45,1.35,2.47,3451,6.33,18.86,83.74,61.78
9.79,2,6.59,3.85,1313,1.06,27.01,77.72,20.22
6.33,17,2.4,1.25,887,8.31,32.24,82.62,95.85
11.61,17,2.95,1.17,2484,4.07,14.46,85.78,83.57
4.64,36,8.86,3.47,3777,9.72,28.73,74.08,95.94
5.73,32,7.68,2.19,4791,3.86,32.54,71.92,31.34
12.79,37,4.46,3.75,1395,9.42,12.32,86.21,62.65
10.83,43,2.41,4.65,4737,4.07,19.69,77.73,91.71
13.25,44,2.12,1.91,614,7.0,17.78,94.35,32.33
5.22,15,8.48,3.48,3586,8.09,24.94,93.96,25.5
